reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
rapidan campaign may june	even in the beginning of the season	1.75	-0.75	0.0542	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	50	rapidan campaign may june	even in the beginning of the season	39	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5140565898409288	weak_overlap	0.3	0.5	30801	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	It is the beginning of the thrombocytic series.
alston commented that he felt the cartoonist might have had some racial intent	a constant wind and gusts of wind and gusts of wind are the source of the ocean s heat	1.4615	-0.4615	0.0179	1.0	0	-1.1674	0.919	4	3	2	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	51	alston commented that he felt the cartoonist might have had some racial intent	a constant wind and gusts of wind and gusts of wind are the source of the ocean s heat	40	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.47740932357707866	weak_overlap	0.1875	0.25	4449	common_voice_en_18962156.mp3	0ac7975ab41723c0daf8f85b6a6064237b233273e5abc63b5bda9c93a5b368db	It is the source of the Androscoggin River.
this release is currently out of print	the city is located in the southern part of the city of korea	1.5714	-0.5714	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	52	this release is currently out of print	the city is located in the southern part of the city of korea	41	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the two films were then released within one day of each other	the city is located in the southern part of the city of korea	1.0	0.0	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	56	the two films were then released within one day of each other	the city is located in the southern part of the city of korea	42	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
what did he say his name was asked the captain	the city is located in the southern part of the city of korea	1.2	-0.2	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	57	what did he say his name was asked the captain	the city is located in the southern part of the city of korea	43	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
ok then this doesn t really change anything	the city is located in the southern part of the city of korea	1.625	-0.625	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	59	ok then this doesn t really change anything	the city is located in the southern part of the city of korea	44	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
what did it mean	the city is also home to the city of canada and canada canada is the second largest city in the world	5.25	-4.25	0.0589	1.0	1	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	60	what did it mean	the city is also home to the city of canada and canada canada is the second largest city in the world	45	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4990196412847405	weak_overlap	0.4375	0.5384615384615384	52442	common_voice_en_23737817.mp3	72a813de59f1d2e10aa64b4198d68747e35ea7a99ac8e61e01043e4ad01701f9	Milagro is the second largest city in the province of Guayas.
at the hospital i met a very nice nurse	the city is located in the southern part of the city of korea	1.3333	-0.3333	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	61	at the hospital i met a very nice nurse	the city is located in the southern part of the city of korea	46	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
yes	the city is located in the southern part of the city of korea	13.0	-12.0	0.0414	0.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	62	yes	the city is located in the southern part of the city of korea	47	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
since their inception harris has been the band s principal composer and lyricist	the city is located in the southern part of the city of korea	1.0	0.0	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	64	since their inception harris has been the band s principal composer and lyricist	the city is located in the southern part of the city of korea	48	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
religious festivals include the muslim eids and the christian christmas and easter	the visit has more than three demands from the government and the city of canada	1.1667	-0.1667	0.0082	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	67	religious festivals include the muslim eids and the christian christmas and easter	the visit has more than three demands from the government and the city of canada	49	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.30216353750753233	novel_or_generic	0.13636363636363635	0.23076923076923078	83111	common_voice_en_25923501.mp3	02274de63aa1a6d145517133018295b53c892c2160f230bdf6f39acc8e5622e2	He gave speeches on information control for the government and the private sector.
what do you advise sir	but he is a mighty good man	1.4	-0.4	0.0122	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	68	what do you advise sir	but he is a mighty good man	50	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.529304859606186	weak_overlap	0.4	0.5714285714285714	103124	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	But he is not a blood relative.
the cornices of the room were mostly intact but showed signs of damage from damp	the city is located in the southern part of the city of korea	0.8667	0.1333	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	71	the cornices of the room were mostly intact but showed signs of damage from damp	the city is located in the southern part of the city of korea	51	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
alexandria and texas were shut down mid season	the city is located in the southern part of the city of korea	1.625	-0.625	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	72	alexandria and texas were shut down mid season	the city is located in the southern part of the city of korea	52	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
it is inhibited by the pneumotaxic centre	the city is still in the process of being reestablished	1.1429	-0.1429	0.0446	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	74	it is inhibited by the pneumotaxic centre	the city is still in the process of being reestablished	53	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5474868547683783	weak_overlap	0.35294117647058826	0.6666666666666666	60053	common_voice_en_22178520.mp3	5aa3362813b61495f6a46fc8d0aa3e273fd7dabd2ee1048cc762e2437b917ac1	As an emerging discipline, learning science is still in the process of defining itself.
her intro later appeared on the david holmes essential collection	the city is home to the city of canada and the city of canada is home to the city of canada	2.0	-1.0	0.1016	1.0	0	-1.1674	0.919	6	5	4	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	75	her intro later appeared on the david holmes essential collection	the city is home to the city of canada and the city of canada is home to the city of canada	54	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.46990818681420543	weak_overlap	0.45454545454545453	0.625	106137	common_voice_en_19356009.mp3	138e9d7c2296cceb6031d357bdc85138d411b57e31d9d81fbb53cb7afaf78582	The city is home to the Pine Bluff Arsenal.
an important person in the life of emile claus was the painter jenny montigny	the city is located in the central part of the city center of the city center	0.9286	0.0714	0.0754	1.0	0	-1.1674	0.919	3	2	1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	76	an important person in the life of emile claus was the painter jenny montigny	the city is located in the central part of the city center of the city center	55	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.43514727389238006	novel_or_generic	0.3333333333333333	0.4444444444444444	92991	common_voice_en_22252808.mp3	5c242cb5407bf958e7459a2f25ff17794cb55152ec6c448dc0e2d367cb626dec	The school lies south of the city center.
it was won by a woman from vara sweden	the building was built in the late 19th century and has since been renovated	1.4444	-0.4444	0.1071	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	81	it was won by a woman from vara sweden	the building was built in the late 19th century and has since been renovated	56	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3671041714243791	novel_or_generic	0.1875	0.23076923076923078	55615	common_voice_en_27249364.mp3	a65a4c322ab9032a887b237502bab1c06a088e424c1c815b7170a0e47b890ad3	This preparation has since been outlawed.
maybe he just put it there for safe keeping	the city is located in the southern part of the city of korea	1.4444	-0.4444	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	84	maybe he just put it there for safe keeping	the city is located in the southern part of the city of korea	57	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the land was ruined and i had to find some other way to earn a living	the city is located in the central part of the city center of the city center	0.9375	0.0625	0.0754	1.0	0	-1.1674	0.919	3	2	1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	86	the land was ruined and i had to find some other way to earn a living	the city is located in the central part of the city center of the city center	58	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.43514727389238006	novel_or_generic	0.3333333333333333	0.4444444444444444	92991	common_voice_en_22252808.mp3	5c242cb5407bf958e7459a2f25ff17794cb55152ec6c448dc0e2d367cb626dec	The school lies south of the city center.
i pointed out mars a bright dot of light	the city is located in the southern part of the city of korea	1.3333	-0.3333	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	87	i pointed out mars a bright dot of light	the city is located in the southern part of the city of korea	59	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
i wondered if those birds were redwings	the city is also home to the city of canada and canada canada is the second largest city in the world	3.0	-2.0	0.0589	1.0	1	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	88	i wondered if those birds were redwings	the city is also home to the city of canada and canada canada is the second largest city in the world	60	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4990196412847405	weak_overlap	0.4375	0.5384615384615384	52442	common_voice_en_23737817.mp3	72a813de59f1d2e10aa64b4198d68747e35ea7a99ac8e61e01043e4ad01701f9	Milagro is the second largest city in the province of Guayas.
he had completed his graduation in lahore university	the best thing is that you can do anything and everywhere you want to do	1.875	-0.875	0.0479	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	90	he had completed his graduation in lahore university	the best thing is that you can do anything and everywhere you want to do	61	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.4136561080756904	novel_or_generic	0.3333333333333333	0.38461538461538464	1450	common_voice_en_22708296.mp3	0c0b9f5524fa80adabd00146b789689b1718b18608de6ef7c3ad4b8e2242f858	Are you sure you want to do that?
